#{"t_start": 1768206246.7971556, "env_id": "None"}
r,l,t
0.0,1,14.960557
0.0,1,14.960579
0.0,1,14.960598
0.0,1,14.960618
0.0,1,14.960638
0.0,1,15.266948
0.0,1,15.266994
0.0,1,15.267017
0.0,1,15.26704
0.0,1,15.267061
0.0,1,15.267081
0.0,1,15.2671
0.0,1,15.26712
0.0,1,15.55725
0.0,1,15.557298
0.0,1,15.55732
0.0,1,15.557342
0.0,1,15.557364
0.0,1,15.557385
0.0,1,15.557405
0.0,1,15.557424
0.0,1,15.792572
0.0,1,15.792619
0.0,1,15.792648
0.0,1,15.79267
0.0,1,15.792691
0.0,1,15.792711
0.0,1,15.79273
0.0,1,15.79275
0.0,1,16.248793
0.0,1,16.248845
0.0,1,16.248867
0.0,1,16.248888
0.0,1,16.248908
0.0,1,16.248928
0.0,1,16.248947
0.0,1,16.248968
0.0,1,16.643108
0.0,1,16.643153
0.0,1,16.643176
0.0,1,16.643198
0.0,1,16.643218
0.0,1,16.643238
0.0,1,16.643257
0.0,1,16.643278
0.0,1,17.087932
0.0,1,17.087981
0.0,1,17.088003
0.0,1,17.088023
0.0,1,17.088045
0.0,1,17.088066
0.0,1,17.088085
0.0,1,17.088105
0.0,1,17.431762
0.0,1,17.431809
0.0,1,17.431832
0.0,1,17.431854
0.0,1,17.431875
0.0,1,17.431894
0.0,1,17.431913
0.0,1,17.431933
0.0,1,17.756292
0.0,1,17.756342
0.0,1,17.756365
0.0,1,17.756386
0.0,1,17.756407
0.0,1,17.756427
0.0,1,17.756447
0.0,1,17.756466
0.0,1,18.150143
0.0,1,18.15019
0.0,1,18.150215
0.0,1,18.150237
0.0,1,18.150257
0.0,1,18.150277
0.0,1,18.150296
0.0,1,18.150316
0.0,1,18.604477
0.0,1,18.604526
0.0,1,18.604548
0.0,1,18.604569
0.0,1,18.60459
0.0,1,18.604611
0.0,1,18.604631
0.0,1,18.60465
0.0,1,18.949871
0.0,1,18.949924
0.0,1,18.949944
0.0,1,18.94996
0.0,1,18.949976
0.0,1,18.949996
0.0,1,18.950011
0.0,1,18.950026
0.0,1,19.39701
0.0,1,19.397057
0.0,1,19.397082
0.0,1,19.397103
0.0,1,19.397124
0.0,1,19.397142
0.0,1,19.397162
0.0,1,19.397181
0.0,1,19.672085
0.0,1,19.672132
0.0,1,19.672151
0.0,1,19.672167
0.0,1,19.672183
0.0,1,19.672199
0.0,1,19.672215
0.0,1,19.672229
0.0,1,20.069555
0.0,1,20.069601
0.0,1,20.069624
0.0,1,20.069644
0.0,1,20.069665
0.0,1,20.069685
0.0,1,20.069704
0.0,1,20.069726
0.0,1,20.373351
0.0,1,20.373411
0.0,1,20.37343
0.0,1,20.373447
0.0,1,20.373463
0.0,1,20.373478
0.0,1,20.373494
0.0,1,20.373508
0.0,1,20.636403
0.0,1,20.636453
0.0,1,20.636475
0.0,1,20.636497
0.0,1,20.636518
0.0,1,20.636538
0.0,1,20.636559
0.0,1,20.636578
0.0,1,20.855172
0.0,1,20.855219
0.0,1,20.855244
0.0,1,20.855264
0.0,1,20.855285
0.0,1,20.855308
0.0,1,20.855326
0.0,1,20.855346
0.0,1,21.249844
0.0,1,21.249892
0.0,1,21.249914
0.0,1,21.249934
0.0,1,21.249954
0.0,1,21.249975
0.0,1,21.249994
0.0,1,21.250014
0.0,1,21.526053
0.0,1,21.526098
0.0,1,21.526117
0.0,1,21.526132
0.0,1,21.526148
0.0,1,21.526164
0.0,1,21.526179
0.0,1,21.526194
0.0,1,21.863696
0.0,1,21.863741
0.0,1,21.86376
0.0,1,21.863777
0.0,1,21.863793
0.0,1,21.863808
0.0,1,21.863823
0.0,1,21.863838
0.0,1,22.185075
0.0,1,22.185153
0.0,1,22.185173
0.0,1,22.185189
0.0,1,22.185204
0.0,1,22.185219
0.0,1,22.185234
0.0,1,22.18525
0.0,1,22.585132
0.0,1,22.585183
0.0,1,22.585206
0.0,1,22.585227
0.0,1,22.585247
0.0,1,22.585266
0.0,1,22.585285
0.0,1,22.585304
0.0,1,22.831055
0.0,1,22.831108
0.0,1,22.831126
0.0,1,22.831144
0.0,1,22.83116
0.0,1,22.831176
0.0,1,22.831192
0.0,1,22.831207
0.0,1,23.09869
0.0,1,23.098737
0.0,1,23.09876
0.0,1,23.098783
0.0,1,23.098804
0.0,1,23.098823
0.0,1,23.098848
0.0,1,23.098867
0.0,1,23.454905
0.0,1,23.454964
0.0,1,23.454989
0.0,1,23.455006
0.0,1,23.455022
0.0,1,23.455039
0.0,1,23.455054
0.0,1,23.455074
0.0,1,23.753947
0.0,1,23.754014
0.0,1,23.754038
0.0,1,23.754059
0.0,1,23.754079
0.0,1,23.754099
0.0,1,23.754118
0.0,1,23.754136
0.0,1,23.992885
0.0,1,23.992948
0.0,1,23.992972
0.0,1,23.992993
0.0,1,23.993013
0.0,1,23.993032
0.0,1,23.993051
0.0,1,23.99307
0.0,1,24.493797
0.0,1,24.493855
0.0,1,24.493881
0.0,1,24.493902
0.0,1,24.493924
0.0,1,24.493944
0.0,1,24.493963
0.0,1,24.493982
0.0,1,24.937312
0.0,1,24.93736
0.0,1,24.937383
0.0,1,24.937404
0.0,1,24.937423
0.0,1,24.937443
0.0,1,24.937462
0.0,1,24.937481
0.0,1,25.187669
0.0,1,25.187718
0.0,1,25.187741
0.0,1,25.187762
0.0,1,25.187782
0.0,1,25.1878
0.0,1,25.18782
0.0,1,25.187839
0.0,1,25.583319
0.0,1,25.583372
0.0,1,25.583395
0.0,1,25.583416
0.0,1,25.583436
0.0,1,25.583456
0.0,1,25.583475
0.0,1,25.583494
0.0,1,26.038421
0.0,1,26.03847
0.0,1,26.038493
0.0,1,26.038514
0.0,1,26.038534
0.0,1,26.038554
0.0,1,26.038573
0.0,1,26.038592
0.0,1,26.431639
0.0,1,26.431687
0.0,1,26.431709
0.0,1,26.43173
0.0,1,26.43175
0.0,1,26.431768
0.0,1,26.431787
0.0,1,26.431806
0.0,1,26.875633
0.0,1,26.875683
0.0,1,26.875705
0.0,1,26.875724
0.0,1,26.875745
0.0,1,26.875766
0.0,1,26.875785
0.0,1,26.875806
0.0,1,27.190128
0.0,1,27.190191
0.0,1,27.190215
0.0,1,27.190235
0.0,1,27.190257
0.0,1,27.190276
0.0,1,27.190296
0.0,1,27.190315
0.0,1,27.410627
0.0,1,27.410683
0.0,1,27.410706
0.0,1,27.410727
0.0,1,27.410747
0.0,1,27.410767
0.0,1,27.410786
0.0,1,27.410805
0.0,1,27.577558
0.0,1,27.577608
0.0,1,27.577631
0.0,1,27.577651
0.0,1,27.577671
0.0,1,27.577692
0.0,1,27.577711
0.0,1,27.577731
0.0,1,27.834771
0.0,1,27.834829
0.0,1,27.834852
0.0,1,27.834872
0.0,1,27.834892
0.0,1,27.834911
0.0,1,27.83493
0.0,1,27.834949
0.0,1,28.189281
0.0,1,28.189333
0.0,1,28.189355
0.0,1,28.189375
0.0,1,28.189397
0.0,1,28.189416
0.0,1,28.189436
0.0,1,28.189454
0.0,1,28.573059
0.0,1,28.573116
0.0,1,28.573134
0.0,1,28.57315
0.0,1,28.573167
0.0,1,28.573182
0.0,1,28.573197
0.0,1,28.573212
0.0,1,29.050713
0.0,1,29.050763
0.0,1,29.050786
0.0,1,29.050808
0.0,1,29.050829
0.0,1,29.050848
0.0,1,29.050867
0.0,1,29.050887
0.0,1,29.40855
0.0,1,29.408604
0.0,1,29.408623
0.0,1,29.408639
0.0,1,29.408657
0.0,1,29.408672
0.0,1,29.408688
0.0,1,29.408703
0.0,1,29.680063
0.0,1,29.680123
0.0,1,29.680143
0.0,1,29.68016
0.0,1,29.680176
0.0,1,29.680192
0.0,1,29.680207
0.0,1,29.680223
0.0,1,30.139426
0.0,1,30.139486
0.0,1,30.139512
0.0,1,30.139532
0.0,1,30.139551
0.0,1,30.139569
0.0,1,30.139588
0.0,1,30.139608
0.0,1,30.53384
0.0,1,30.53389
0.0,1,30.533914
0.0,1,30.533935
0.0,1,30.533955
0.0,1,30.533973
0.0,1,30.533992
0.0,1,30.534017
0.0,1,30.983367
0.0,1,30.98342
0.0,1,30.983443
0.0,1,30.983465
0.0,1,30.983486
0.0,1,30.983506
0.0,1,30.983525
0.0,1,30.983543
0.0,1,31.219536
0.0,1,31.219581
0.0,1,31.219605
0.0,1,31.219626
0.0,1,31.219647
0.0,1,31.219667
0.0,1,31.219687
0.0,1,31.219707
0.0,1,31.43902
0.0,1,31.439067
0.0,1,31.439087
0.0,1,31.439104
0.0,1,31.43912
0.0,1,31.439135
0.0,1,31.43915
0.0,1,31.439165
0.0,1,31.858882
0.0,1,31.858934
0.0,1,31.858953
0.0,1,31.858969
0.0,1,31.858985
0.0,1,31.859
0.0,1,31.859016
0.0,1,31.859031
0.0,1,32.089231
0.0,1,32.089277
0.0,1,32.089296
0.0,1,32.089313
0.0,1,32.089329
0.0,1,32.089344
0.0,1,32.089361
0.0,1,32.089381
0.0,1,32.446947
0.0,1,32.446997
0.0,1,32.447015
0.0,1,32.447031
0.0,1,32.447047
0.0,1,32.447063
0.0,1,32.447078
0.0,1,32.447093
0.0,1,32.848161
0.0,1,32.848214
0.0,1,32.848239
0.0,1,32.848261
0.0,1,32.848282
0.0,1,32.848301
0.0,1,32.84832
0.0,1,32.848341
0.0,1,33.178029
0.0,1,33.178081
0.0,1,33.178099
0.0,1,33.178116
0.0,1,33.178133
0.0,1,33.178148
0.0,1,33.178163
0.0,1,33.178178
0.0,1,33.480168
0.0,1,33.480218
0.0,1,33.480243
0.0,1,33.480264
0.0,1,33.480285
0.0,1,33.480304
0.0,1,33.480323
0.0,1,33.480342
0.0,1,33.755669
0.0,1,33.755711
0.0,1,33.755731
0.0,1,33.755748
0.0,1,33.755764
0.0,1,33.755781
0.0,1,33.755796
0.0,1,33.755811
0.0,1,34.125452
0.0,1,34.125506
0.0,1,34.125526
0.0,1,34.125544
0.0,1,34.125561
0.0,1,34.125576
0.0,1,34.125592
0.0,1,34.125607
0.0,1,34.476686
0.0,1,34.476733
0.0,1,34.476751
0.0,1,34.476768
0.0,1,34.476783
0.0,1,34.476799
0.0,1,34.476814
0.0,1,34.476829
0.0,1,34.764844
0.0,1,34.764904
0.0,1,34.764924
0.0,1,34.76494
0.0,1,34.764956
0.0,1,34.764972
0.0,1,34.764987
0.0,1,34.765002
0.0,1,35.168618
0.0,1,35.16867
0.0,1,35.168694
0.0,1,35.168716
0.0,1,35.168737
0.0,1,35.168757
0.0,1,35.168777
0.0,1,35.168798
0.0,1,35.49867
0.0,1,35.498725
0.0,1,35.498748
0.0,1,35.498769
0.0,1,35.498791
0.0,1,35.498811
0.0,1,35.49883
0.0,1,35.498849
0.0,1,35.718676
0.0,1,35.718728
0.0,1,35.718754
0.0,1,35.718777
0.0,1,35.718799
0.0,1,35.718818
0.0,1,35.718839
0.0,1,35.718859
0.0,1,35.960159
0.0,1,35.960211
0.0,1,35.960231
0.0,1,35.960248
0.0,1,35.960264
0.0,1,35.96028
0.0,1,35.960296
0.0,1,35.960312
0.0,1,36.217214
0.0,1,36.217259
0.0,1,36.217278
0.0,1,36.217295
0.0,1,36.217312
0.0,1,36.217328
0.0,1,36.217343
0.0,1,36.217358
0.0,1,36.637192
0.0,1,36.637246
0.0,1,36.637269
0.0,1,36.637289
0.0,1,36.637316
0.0,1,36.637335
0.0,1,36.637355
0.0,1,36.637373
0.0,1,37.034375
0.0,1,37.03442
0.0,1,37.034442
0.0,1,37.034463
0.0,1,37.034483
0.0,1,37.034502
0.0,1,37.034521
0.0,1,37.03454
0.0,1,37.410343
0.0,1,37.410393
0.0,1,37.410417
0.0,1,37.410438
0.0,1,37.410458
0.0,1,37.410477
0.0,1,37.410496
0.0,1,37.410516
0.0,1,37.806525
0.0,1,37.806573
0.0,1,37.806595
0.0,1,37.806624
0.0,1,37.806645
0.0,1,37.806671
0.0,1,37.806691
0.0,1,37.806711
0.0,1,38.013347
0.0,1,38.0134
0.0,1,38.013419
0.0,1,38.013436
0.0,1,38.013452
0.0,1,38.013467
0.0,1,38.013482
0.0,1,38.013497
0.0,1,38.291134
0.0,1,38.291197
0.0,1,38.291241
0.0,1,38.291259
0.0,1,38.291276
0.0,1,38.291292
0.0,1,38.291308
0.0,1,38.291324
0.0,1,38.770032
0.0,1,38.770088
0.0,1,38.770112
0.0,1,38.770133
0.0,1,38.770155
0.0,1,38.770174
0.0,1,38.770194
0.0,1,38.770214
0.0,1,38.971526
0.0,1,38.971571
0.0,1,38.971594
0.0,1,38.971616
0.0,1,38.971636
0.0,1,38.971655
0.0,1,38.971673
0.0,1,38.971691
0.0,1,39.225351
0.0,1,39.225394
0.0,1,39.225418
0.0,1,39.22544
0.0,1,39.225461
0.0,1,39.225481
0.0,1,39.2255
0.0,1,39.22552
0.0,1,39.500007
0.0,1,39.500063
0.0,1,39.500083
0.0,1,39.500099
0.0,1,39.500114
0.0,1,39.500129
0.0,1,39.500144
0.0,1,39.500158
0.0,1,39.980987
0.0,1,39.981033
0.0,1,39.981056
0.0,1,39.981077
0.0,1,39.981097
0.0,1,39.981118
0.0,1,39.981137
0.0,1,39.981156
0.0,1,40.348259
0.0,1,40.348305
0.0,1,40.348328
0.0,1,40.348351
0.0,1,40.348371
0.0,1,40.348391
0.0,1,40.34841
0.0,1,40.348429
0.0,1,40.707881
0.0,1,40.707935
0.0,1,40.707954
0.0,1,40.707971
0.0,1,40.707986
0.0,1,40.708
0.0,1,40.708016
0.0,1,40.708031
0.0,1,41.030385
0.0,1,41.030432
0.0,1,41.03045
0.0,1,41.030467
0.0,1,41.030483
0.0,1,41.030498
0.0,1,41.030514
0.0,1,41.030529
0.0,1,41.567505
0.0,1,41.567556
0.0,1,41.56758
0.0,1,41.567601
0.0,1,41.567622
0.0,1,41.567641
0.0,1,41.56766
0.0,1,41.56768
0.0,1,41.847551
0.0,1,41.847596
0.0,1,41.847616
0.0,1,41.847632
0.0,1,41.847648
0.0,1,41.847662
0.0,1,41.847678
0.0,1,41.847692
0.0,1,42.174462
0.0,1,42.17451
0.0,1,42.174533
0.0,1,42.174554
0.0,1,42.174574
0.0,1,42.174594
0.0,1,42.174614
0.0,1,42.174642
0.0,1,42.523642
0.0,1,42.523696
0.0,1,42.523715
0.0,1,42.523732
0.0,1,42.523749
0.0,1,42.523764
0.0,1,42.52378
0.0,1,42.523796
0.0,1,42.834138
0.0,1,42.834187
0.0,1,42.834211
0.0,1,42.834236
0.0,1,42.834257
0.0,1,42.834277
0.0,1,42.834296
0.0,1,42.834316
0.0,1,43.209232
0.0,1,43.20928
0.0,1,43.209303
0.0,1,43.209322
0.0,1,43.209344
0.0,1,43.209366
0.0,1,43.209386
0.0,1,43.209406
0.0,1,43.500177
0.0,1,43.500221
0.0,1,43.500246
0.0,1,43.500268
0.0,1,43.500287
0.0,1,43.500306
0.0,1,43.500325
0.0,1,43.500344
0.0,1,43.855963
0.0,1,43.85602
0.0,1,43.856039
0.0,1,43.856056
0.0,1,43.856073
0.0,1,43.856088
0.0,1,43.856104
0.0,1,43.85612
0.0,1,44.131485
0.0,1,44.131531
